from,to,layer
node53,node95,5
node158,node32,1
node7,node94,1
node65,node164,4
node224,node233,5
node164,node83,3
node104,node217,3
node240,node36,4
node158,node137,5
node13,node81,4
node18,node153,1
node95,node141,3
node133,node131,3
node95,node158,4
node227,node10,1
node101,node172,4
node42,node93,2
node49,node24,5
node3,node187,2
node121,node44,2
node220,node150,1
node7,node84,4
node4,node112,3
node159,node216,5
node174,node148,1
node13,node217,1
node246,node23,1
node186,node177,3
node25,node210,2
node102,node58,5
node107,node135,2
node99,node187,5
node94,node143,5
node228,node136,1
node163,node74,2
node107,node190,1
node4,node247,5
node21,node192,5
node203,node11,5
node76,node175,3
node140,node43,5
node36,node169,2
node52,node145,5
node16,node182,3
node19,node193,1
node154,node42,3
node108,node112,3
node38,node177,4
node7,node58,5
node164,node202,4
node119,node160,4
node243,node208,3
node233,node34,2
node52,node130,3
node69,node70,2
node133,node158,5
node56,node19,5
node109,node150,5
node76,node116,1
node86,node90,2
node13,node242,3
node234,node120,1
node143,node27,3
node242,node209,4
node123,node23,4
node87,node88,5
node3,node244,2
node193,node232,5
node6,node172,5
node207,node170,3
node86,node2,5
node206,node134,2
node3,node132,1
node89,node61,5
node218,node105,2
node49,node39,4
node126,node103,2
node62,node188,2
node197,node186,3
node141,node94,3
node87,node231,3
node162,node192,4
node103,node223,5
node145,node61,1
node146,node206,2
node58,node143,5
node177,node154,1
node118,node34,1
node244,node219,3
node2,node96,5
node68,node142,3
node178,node200,2
node140,node32,5
node42,node149,2
node153,node189,3
node67,node158,4
node174,node185,5
node24,node147,2
node227,node68,2
node63,node53,2
node44,node67,1
node8,node172,2
node197,node206,4
node208,node119,2
node223,node89,3
node59,node116,4
node245,node143,4
node70,node180,5
node220,node162,1
node127,node76,3
node182,node222,1
node104,node110,4
node230,node26,1
node188,node8,3
node174,node24,4
node191,node17,1
node43,node93,5
node188,node13,1
node5,node4,4
node2,node191,1
node110,node8,1
node189,node151,3
node211,node189,3
node27,node113,4
node57,node55,4
node130,node237,2
node185,node148,2
node93,node46,4
node175,node122,5
node191,node51,1
node64,node241,3
node79,node68,4
node243,node139,4
node27,node239,5
node224,node195,5
node42,node134,1
node201,node154,4
node240,node244,4
node183,node80,2
node224,node3,3
node152,node66,5
node175,node51,4
node114,node151,5
node216,node5,5
node43,node237,2
node81,node95,2
node16,node188,4
node128,node192,2
node181,node165,5
node155,node68,1
node140,node228,2
node218,node165,4
node156,node189,5
node235,node115,1
node238,node186,5
node44,node181,2
node128,node204,2
node44,node134,3
node143,node133,1
node72,node151,5
node164,node91,3
node125,node236,3
node74,node143,4
node196,node108,2
node230,node8,3
node222,node249,2
node78,node213,1
node57,node181,5
node25,node162,3
node82,node118,5
node156,node92,4
node227,node185,5
node119,node60,3
node47,node6,4
node175,node157,1
node70,node122,4
node100,node220,5
node131,node68,5
node156,node139,5
node77,node34,3
node50,node15,1
node20,node73,3
node95,node10,4
node173,node66,4
node198,node150,2
node237,node208,1
node166,node204,2
node74,node219,3
node155,node167,5
node84,node175,3
node189,node216,2
node118,node99,3
node211,node221,4
node31,node40,4
node33,node119,2
node182,node158,2
node150,node133,5
node31,node197,2
node66,node30,2
node139,node51,4
node49,node156,4
node52,node87,2
node125,node138,5
node173,node209,3
node141,node23,1
node72,node56,5
node59,node214,2
node30,node109,3
node84,node99,3
node24,node248,4
node103,node100,5
node28,node90,4
node82,node56,3
node194,node67,2
node209,node7,2
node208,node149,5
node64,node102,4
node110,node53,4
