from,to,layer
node13,node2,3
node13,node2,1
node19,node7,5
node15,node13,2
node1,node5,2
node24,node5,4
node7,node5,1
node29,node14,3
node13,node15,3
node3,node11,2
node26,node27,5
node19,node6,2
node22,node25,1
node29,node13,5
node15,node14,1
node21,node16,5
node13,node4,2
node18,node9,5
node24,node14,4
node15,node5,5
node5,node9,5
node2,node26,4
node14,node19,5
node17,node12,2
node8,node26,5
node28,node9,1
node5,node17,5
node22,node1,5
node27,node18,1
node6,node16,2
node18,node4,5
node20,node15,3
node25,node26,3
node27,node25,5
node15,node5,2
node8,node6,1
node25,node6,4
node26,node24,4
node17,node21,1
node18,node21,3
node2,node28,2
node6,node2,4
node28,node7,2
node30,node1,5
node23,node20,5
node27,node6,5
node30,node28,3
node10,node21,3
node13,node22,5
node1,node5,3
node30,node1,2
node3,node14,4
node6,node15,3
node1,node24,3
node16,node29,3
node19,node10,2
node28,node15,1
node16,node4,3
node7,node9,4
node10,node30,2
node8,node30,4
node13,node27,5
node1,node2,5
node25,node6,5
node20,node8,5
node24,node28,2
node16,node26,2
node2,node10,3
node5,node4,4
node12,node30,3
node23,node18,4
node11,node18,3
node5,node21,4
node19,node2,3
node4,node17,1
node10,node8,2
node4,node22,2
node13,node11,5
node8,node9,5
node4,node30,5
node29,node15,2
node4,node14,4
node4,node5,1
node21,node2,5
node26,node15,3
node15,node23,3
node8,node21,5
node22,node30,1
node30,node16,3
node13,node30,4
node2,node22,5
node17,node11,4
node6,node14,5
node24,node6,5
node13,node22,2
node19,node12,5
node29,node1,3
node18,node30,3
node23,node7,3
