from,to,layer
node145,node128,1
node139,node123,1
node36,node97,1
node30,node92,2
node59,node137,1
node32,node49,1
node40,node93,2
node126,node134,2
node143,node35,2
node18,node120,1
node52,node147,1
node79,node45,2
node91,node114,2
node84,node118,2
node141,node96,2
node118,node103,1
node15,node115,1
node44,node9,2
node88,node115,1
node49,node10,2
node33,node4,2
node92,node65,2
node142,node74,2
node39,node14,2
node52,node17,2
node107,node87,1
node64,node17,2
node26,node95,1
node96,node49,1
node43,node79,2
node39,node135,1
node115,node89,1
node149,node139,1
node5,node66,2
node4,node91,1
node96,node1,2
node61,node28,2
node148,node144,1
node121,node129,2
node80,node69,1
node102,node26,1
node12,node57,1
node48,node89,1
node35,node91,2
node32,node13,1
node39,node27,1
node118,node91,1
node6,node84,2
node32,node61,1
node36,node5,1
node128,node143,2
node22,node74,1
node134,node90,1
node25,node26,2
node135,node26,1
node21,node150,2
node37,node70,1
node16,node135,1
node29,node34,2
node97,node120,1
node82,node18,2
node57,node46,2
node6,node142,1
node40,node92,1
node44,node30,2
node134,node122,2
node54,node137,1
node93,node44,1
node117,node72,1
node122,node23,1
node126,node47,2
node98,node77,2
node58,node129,2
node35,node54,2
node143,node90,2
node108,node55,2
node146,node2,1
node31,node101,2
node37,node106,1
node59,node62,1
node137,node48,2
node139,node46,2
node133,node62,1
node111,node119,1
node92,node97,2
node127,node103,2
node109,node50,2
node104,node145,1
node128,node86,1
node18,node41,1
node37,node9,2
node145,node18,1
node106,node77,1
node121,node19,1
node85,node129,2
node94,node143,1
node35,node31,2
node28,node144,2
node40,node20,2
node110,node100,1
node3,node101,2
node130,node60,2
node21,node4,2
node141,node39,1
node1,node136,1
node78,node72,2
node79,node71,2
node53,node139,1
node44,node106,1
node122,node109,1
node95,node126,2
node13,node52,2
node44,node32,1
node138,node92,1
node127,node13,1
node140,node142,2
node70,node40,1
node81,node68,1
node62,node90,1
node98,node89,1
node145,node77,2
node109,node27,2
node146,node24,1
node46,node112,1
node54,node15,1
node147,node56,1
node107,node130,2
node72,node98,1
node144,node115,2
node99,node21,2
node83,node118,2
node69,node36,2
node12,node77,2
node11,node9,1
node8,node85,1
node63,node53,1
node37,node54,2
node37,node26,1
node127,node83,2
node118,node150,1
node71,node55,1
node80,node54,2
node64,node130,2
node112,node72,2
node8,node109,1
node82,node4,2
node92,node127,2
node12,node10,2
node11,node111,2
node146,node100,1
node89,node70,1
node33,node126,2
node105,node48,1
node15,node100,1
node13,node7,2
node141,node30,1
node68,node45,1
node135,node132,1
node132,node34,1
node103,node105,2
node16,node76,1
node83,node103,1
node53,node140,2
node94,node119,2
node38,node92,1
node31,node121,1
node144,node114,2
node17,node10,1
node43,node126,1
node130,node89,1
node22,node89,2
node12,node74,2
node119,node136,2
node40,node1,1
node89,node133,2
node9,node43,1
node12,node7,2
node86,node11,1
node17,node6,1
node64,node106,1
node138,node120,1
node37,node138,1
node79,node115,1
node122,node66,1
node47,node117,2
node3,node58,1
node102,node120,1
node131,node98,1
node103,node20,1
node120,node144,1
node102,node2,2
node73,node2,2
node106,node119,2
node140,node31,1
node35,node5,2
node25,node21,2
node56,node148,1
node80,node64,2
node79,node84,1
node17,node77,2
node68,node150,1
node93,node78,2
node88,node98,2
node83,node103,2
node8,node57,1
node67,node9,1
node127,node58,1
node19,node117,1
node48,node62,2
node63,node95,2
