from,to,layer
node4,node6,1
node1,node2,2
node14,node20,2
node17,node7,1
node3,node12,2
node9,node15,1
node9,node10,2
node5,node4,2
node1,node5,1
node9,node3,2
node11,node14,2
node14,node5,1
node9,node8,2
node14,node12,2
node14,node2,2
node5,node12,2
node13,node14,1
node13,node8,2
node5,node20,1
node16,node8,2
node17,node20,2
node3,node7,2
node13,node3,1
node20,node10,2
node5,node20,2
node10,node1,1
node8,node5,2
node16,node19,1
node10,node19,2
node12,node16,1
node6,node5,2
node1,node10,2
node3,node17,1
node6,node7,1
node9,node10,1
node17,node14,1
node18,node3,2
node7,node3,2
node9,node3,1
node6,node9,1
node14,node12,1
node7,node17,2
node11,node4,1
node5,node2,1
node16,node17,2
node14,node15,1
node10,node19,1
node20,node15,1
node12,node13,1
node2,node14,2
node5,node13,2
node3,node7,1
node17,node13,1
node7,node16,2
node16,node14,1
node1,node11,2
node11,node7,2
node1,node3,2
node18,node2,1
node10,node6,2
node19,node2,2
node5,node6,1
node11,node9,2
node18,node1,2
node12,node14,2
node16,node17,1
node15,node5,2
node10,node13,1
node14,node10,1
node10,node6,1
node1,node13,2
node2,node10,2
node18,node10,1
node11,node9,1
node4,node17,2
node10,node20,2
node13,node7,2
node2,node17,1
node11,node17,1
node17,node7,2
node3,node8,1
node3,node1,2
node15,node7,1
node4,node2,1
node14,node20,1
node12,node5,2
node8,node9,2
node1,node11,1
node4,node5,1
node15,node17,2
node16,node11,1
node6,node4,1
node12,node4,2
node14,node15,2
node13,node16,1
node20,node4,2
node15,node3,1
node7,node19,2
node16,node13,2
