from,to,layer
node37,node115,2
node26,node91,2
node117,node110,2
node111,node25,1
node44,node49,1
node89,node13,1
node26,node120,2
node96,node46,1
node146,node78,2
node48,node19,2
node44,node123,1
node117,node55,2
node53,node114,2
node140,node1,2
node42,node11,1
node132,node145,2
node5,node33,1
node149,node40,1
node95,node97,2
node109,node87,2
node108,node87,1
node138,node22,1
node21,node46,2
node105,node27,1
node127,node28,1
node121,node4,1
node70,node138,1
node107,node36,1
node43,node33,2
node87,node5,2
node98,node134,2
node119,node149,2
node101,node95,2
node18,node54,1
node74,node119,2
node79,node27,2
node67,node82,1
node141,node98,2
node65,node100,1
node102,node69,2
node59,node70,2
node46,node36,1
node14,node107,1
node24,node31,2
node148,node119,2
node115,node96,1
node79,node125,1
node148,node91,2
node148,node59,1
node134,node145,2
node25,node47,2
node136,node40,2
node41,node97,2
node105,node35,1
node75,node51,2
node44,node103,1
node142,node147,1
node25,node101,2
node82,node13,2
node57,node7,1
node113,node43,1
node61,node13,2
node80,node36,1
node122,node26,1
node134,node125,1
node150,node89,2
node117,node58,2
node11,node34,1
node76,node121,1
node14,node143,2
node63,node76,1
node146,node50,1
node15,node24,2
node143,node32,1
node66,node103,1
node65,node51,1
node55,node111,2
node140,node110,2
node44,node78,2
node41,node17,1
node86,node20,2
node89,node80,2
node47,node143,2
node13,node80,1
node4,node1,1
node101,node47,2
node150,node81,2
node4,node85,2
node39,node82,2
node16,node72,1
node93,node47,1
node85,node120,1
node34,node83,2
node110,node131,1
node128,node69,2
node7,node42,2
node61,node48,2
node113,node12,1
node118,node144,2
node102,node4,1
node42,node65,2
node58,node132,2
node83,node110,2
node139,node50,2
node115,node68,1
node132,node46,2
node109,node119,1
node32,node63,1
node115,node36,1
node13,node126,1
node72,node141,2
node40,node17,1
node27,node144,1
node24,node26,1
node52,node130,1
node117,node150,2
node150,node121,2
node51,node148,1
node10,node54,1
node111,node39,1
node110,node104,2
node18,node101,2
node17,node128,1
node80,node19,2
node63,node66,2
node125,node35,1
node142,node95,2
node144,node84,1
node129,node76,2
node75,node102,1
node13,node66,1
node70,node54,2
node3,node59,2
node124,node21,1
node11,node124,1
node22,node44,2
node10,node66,2
node9,node52,2
node94,node127,2
node21,node25,1
node125,node75,1
node139,node127,1
node43,node18,2
node137,node55,2
node51,node145,2
node107,node2,2
node140,node66,1
node4,node114,1
node22,node6,2
node101,node49,1
node111,node150,2
node146,node111,2
node65,node71,1
node116,node15,2
node72,node116,1
node92,node147,1
node114,node25,2
node147,node122,1
node141,node29,2
node95,node32,1
node25,node136,1
node108,node124,1
node115,node67,2
node18,node41,2
node61,node143,2
node147,node32,2
node149,node10,2
node141,node19,1
node40,node138,2
node89,node46,2
node125,node134,1
node87,node148,2
node89,node86,2
node51,node82,2
node69,node42,2
node137,node87,1
node118,node32,1
node136,node56,2
node50,node125,1
node97,node132,1
node123,node17,2
node62,node68,2
node136,node50,1
node148,node70,2
node148,node108,1
node12,node78,2
node8,node77,1
node28,node107,2
node1,node136,2
node136,node71,2
node42,node9,1
node104,node121,1
node26,node101,2
node147,node72,1
node86,node122,1
node105,node87,2
node41,node65,1
node57,node19,1
node139,node106,1
node96,node93,2
node147,node67,2
node51,node25,2
node35,node28,2
node98,node47,2
node77,node140,2
node52,node143,1
node47,node62,2
node52,node2,2
node131,node109,2
node114,node145,1
node128,node109,1
node66,node90,1
node25,node89,1
node66,node40,1
node38,node121,2
node89,node14,2
node65,node25,2
node6,node19,2
node123,node134,1
node135,node62,1
node49,node51,2
node43,node40,1
node123,node91,1
node137,node40,2
node74,node108,2
node78,node108,1
node123,node59,1
node45,node81,2
node94,node18,1
node36,node93,2
node60,node46,2
node100,node82,2
node58,node91,1
node90,node8,2
node142,node76,2
node62,node15,2
node132,node95,2
node137,node129,1
node26,node115,1
node61,node63,2
node125,node123,1
node107,node50,1
node13,node45,2
node86,node91,2
node88,node36,1
node78,node109,2
node29,node123,1
node14,node10,1
node145,node135,1
node16,node125,1
node116,node142,1
node116,node15,1
node108,node117,1
node75,node103,2
node120,node119,1
node139,node114,1
node68,node110,1
node73,node123,2
node13,node32,1
node72,node139,2
node63,node132,2
node79,node77,1
node54,node79,2
node34,node80,2
node75,node13,1
node45,node46,2
node103,node135,2
node10,node113,1
node83,node26,1
node17,node127,2
node15,node95,2
node67,node132,1
node134,node121,1
node6,node68,2
node2,node69,2
node32,node101,2
node41,node42,1
node2,node8,1
node57,node17,1
node71,node150,2
node48,node10,2
node143,node7,2
node62,node7,2
node122,node127,1
node64,node69,1
node64,node85,2
node91,node67,2
node135,node77,2
node41,node33,2
node51,node101,1
node10,node40,1
node55,node32,1
node150,node111,1
node133,node100,1
node44,node144,2
node107,node146,1
node66,node126,2
node66,node101,1
node51,node144,2
node134,node125,2
node43,node99,1
node137,node126,1
node106,node32,2
node57,node15,2
node52,node34,1
node117,node8,1
node144,node64,2
node82,node149,2
node136,node89,1
node120,node107,2
node132,node30,1
node98,node3,2
node115,node95,2
node138,node47,1
node29,node42,2
node16,node139,1
node112,node23,2
node127,node116,2
node51,node122,2
node7,node73,1
node122,node77,1
node106,node12,2
node118,node44,2
node24,node124,1
node86,node114,1
node24,node134,2
node6,node139,1
node114,node63,1
node134,node76,1
node100,node19,1
node140,node127,2
node139,node36,2
node27,node133,1
node53,node106,2
node139,node120,2
node139,node122,1
node22,node136,2
node90,node33,1
node1,node150,1
node146,node142,2
node120,node67,2
node67,node78,2
node149,node55,2
node14,node17,2
node76,node56,1
node60,node34,1
node127,node2,1
node108,node32,1
node45,node105,1
node21,node17,1
node39,node145,2
node36,node19,1
node109,node98,1
node94,node34,2
node129,node130,1
node44,node64,2
node2,node132,1
node65,node95,2
node66,node122,2
node140,node114,1
node142,node107,1
node90,node93,1
node34,node41,1
node56,node12,1
node67,node109,2
node8,node12,2
node116,node119,1
node114,node126,2
node1,node13,2
node1,node51,2
node13,node86,1
node149,node86,2
node11,node47,2
node65,node17,1
node102,node98,2
node50,node112,2
node40,node70,1
node35,node39,1
node136,node133,2
node97,node10,1
node75,node6,2
node100,node26,1
node46,node47,2
node138,node89,1
node37,node96,1
node147,node13,1
node12,node82,1
node17,node96,1
node108,node21,1
node86,node77,1
node98,node22,1
node51,node86,1
node28,node119,2
node85,node16,2
node107,node9,2
node146,node2,1
node119,node124,1
node4,node98,1
node112,node89,2
node41,node123,1
node71,node17,2
node79,node38,1
node62,node50,2
node12,node75,1
node108,node148,2
node147,node67,1
node132,node69,1
node16,node56,1
node12,node139,1
node108,node51,2
node98,node123,1
node119,node124,2
node109,node129,2
node7,node27,2
node26,node132,2
node128,node110,2
node16,node96,2
node35,node20,2
node52,node57,1
node131,node73,1
node119,node50,1
node118,node79,2
node4,node15,2
node70,node31,2
node58,node59,1
node12,node48,1
node101,node27,2
node132,node9,1
node56,node90,1
node56,node14,1
node141,node67,1
node22,node31,2
node23,node104,2
node100,node83,2
node103,node142,1
node116,node35,2
node29,node30,2
node147,node143,1
node3,node147,2
node31,node139,2
node50,node107,2
node36,node111,1
node72,node31,1
node128,node104,2
node130,node17,1
node108,node146,1
node111,node118,1
node30,node10,1
node87,node20,2
node59,node1,2
