from,to,layer
node100,node16,3
node30,node51,2
node81,node67,4
node90,node114,4
node41,node28,5
node13,node79,4
node65,node25,4
node69,node110,1
node48,node1,4
node25,node30,3
node61,node59,3
node45,node11,2
node75,node57,2
node124,node77,4
node75,node84,2
node11,node20,2
node18,node53,3
node28,node108,2
node61,node55,1
node122,node64,3
node68,node67,1
node5,node64,5
node120,node99,3
node92,node87,4
node13,node68,3
node35,node11,1
node41,node8,3
node94,node51,1
node50,node81,4
node32,node121,2
node20,node107,3
node17,node61,1
node53,node36,3
node81,node64,2
node122,node120,1
node21,node51,5
node108,node125,4
node86,node32,5
node34,node12,2
node36,node43,3
node34,node66,3
node29,node96,5
node5,node109,3
node79,node1,3
node67,node94,3
node66,node45,2
node47,node64,2
node4,node123,2
node60,node19,3
node75,node7,3
node6,node96,5
node32,node115,5
node88,node11,5
node115,node60,1
node22,node56,3
node114,node63,3
node43,node93,4
node23,node121,5
node35,node48,3
node72,node66,5
node52,node112,3
node116,node27,5
node2,node23,3
node24,node30,4
node124,node119,3
node22,node73,1
node115,node100,4
node56,node5,3
node55,node93,1
node48,node112,2
node115,node104,4
node50,node119,1
node107,node123,5
node105,node2,1
node122,node91,1
node32,node10,1
node39,node71,2
node59,node83,5
node121,node74,4
node71,node18,2
node45,node31,2
node19,node45,5
node90,node2,2
node15,node17,1
node30,node14,1
node83,node8,1
node67,node35,5
node54,node121,3
node118,node119,1
node3,node113,5
node90,node16,5
node70,node99,2
node5,node11,2
node34,node31,3
node97,node80,1
node51,node111,3
node101,node32,5
node34,node61,5
node85,node15,4
node32,node94,3
node32,node47,5
node108,node89,3
node35,node99,3
node28,node33,5
node54,node120,3
node114,node120,5
node11,node85,4
node32,node92,2
node108,node121,2
node103,node107,3
node77,node32,3
node76,node114,1
node40,node38,2
node93,node114,3
node8,node10,5
node17,node44,4
node72,node18,3
node81,node44,5
node24,node37,5
node40,node24,2
node64,node106,1
node15,node75,4
node22,node39,1
node69,node63,2
node40,node6,2
node13,node26,2
node94,node55,4
node103,node21,4
node83,node45,5
node84,node98,2
node4,node115,3
node65,node107,3
node66,node103,1
node10,node53,3
node57,node110,1
node60,node18,5
node77,node71,2
node91,node80,5
node7,node65,4
node14,node101,5
node65,node27,2
node88,node116,2
node106,node48,5
node44,node58,5
node87,node50,1
node63,node93,5
node77,node5,4
node10,node106,2
node115,node50,4
node85,node31,5
node21,node106,4
node30,node7,2
node60,node91,3
node118,node14,1
node3,node119,2
node80,node25,4
node31,node64,1
node56,node40,1
node94,node101,3
node12,node124,1
node15,node97,1
node20,node55,1
node105,node10,3
node44,node71,5
node116,node124,1
node5,node70,1
node43,node59,3
node83,node43,5
node9,node86,1
node69,node121,1
node111,node94,2
node6,node77,4
node67,node98,3
node7,node11,3
node124,node33,4
node80,node58,2
node100,node45,4
node82,node3,1
node4,node22,3
node81,node15,5
node19,node63,4
node11,node111,4
node60,node25,3
node7,node14,2
node112,node14,3
node27,node54,2
node13,node54,2
node31,node7,1
node120,node74,3
node28,node120,3
node56,node22,2
node7,node37,5
node79,node55,2
node85,node108,5
node29,node31,4
node88,node120,2
node39,node107,4
node121,node74,1
node13,node68,1
node36,node95,3
node89,node93,1
node115,node94,3
node34,node77,3
node95,node20,4
node85,node80,4
node115,node61,1
node10,node36,4
node120,node7,2
node91,node4,3
node53,node119,4
node104,node86,2
node33,node67,4
node79,node84,4
node101,node124,3
node111,node25,2
node26,node47,1
node41,node66,2
node96,node74,5
node49,node123,2
node17,node19,3
node13,node22,2
node56,node11,5
node99,node75,4
node39,node122,1
node15,node19,1
node62,node35,1
node31,node39,4
node59,node64,5
node23,node106,1
node28,node111,4
node53,node13,4
node73,node29,5
node74,node93,1
node35,node45,1
node43,node39,5
node42,node5,1
node39,node37,5
node33,node92,5
node97,node36,5
node31,node51,1
node113,node19,3
node62,node9,2
node12,node75,2
node118,node15,5
node67,node7,3
node111,node102,4
node4,node52,3
node61,node112,5
node7,node45,5
