from,to,layer
node38,node24,3
node47,node3,2
node24,node49,3
node24,node47,2
node3,node41,1
node29,node41,3
node9,node29,3
node48,node46,3
node19,node42,1
node43,node30,2
node35,node41,2
node6,node47,3
node6,node40,3
node5,node1,1
node16,node2,3
node35,node28,3
node35,node20,3
node42,node50,2
node2,node32,3
node5,node12,1
node17,node27,1
node36,node29,2
node33,node26,1
node4,node30,1
node46,node1,1
node31,node7,2
node30,node20,3
node19,node33,1
node42,node46,2
node41,node50,3
node49,node1,3
node9,node46,1
node40,node13,1
node3,node46,1
node49,node18,3
node29,node11,2
node11,node46,1
node11,node28,2
node10,node31,2
node22,node3,2
node17,node18,1
node27,node23,1
node7,node37,3
node43,node26,2
node48,node28,2
node2,node27,2
node44,node8,1
node7,node21,1
node22,node4,3
node14,node28,2
node20,node15,3
node34,node36,3
node19,node15,3
node34,node49,1
node45,node47,3
node37,node19,1
node32,node41,1
node3,node24,2
node46,node23,2
node45,node4,3
node41,node21,2
node29,node21,3
node30,node2,3
node7,node48,1
node17,node27,2
node7,node24,3
node37,node41,2
node27,node21,1
node25,node19,1
node30,node19,2
node8,node1,1
node27,node32,3
node38,node15,3
node41,node44,1
node41,node10,1
node6,node27,1
node20,node16,1
node16,node21,2
node37,node10,2
node36,node1,3
node50,node36,3
node26,node35,1
node47,node22,1
node16,node48,2
node22,node16,3
node31,node13,1
node50,node31,1
node6,node20,3
node25,node37,3
node30,node36,1
node11,node29,2
node14,node36,3
node2,node14,3
node42,node15,3
node38,node6,1
node49,node47,3
node28,node30,1
node44,node15,1
node31,node8,2
node36,node25,1
node1,node44,2
node1,node9,2
node50,node18,1
node42,node20,1
node37,node12,1
node37,node38,1
node30,node14,3
node42,node32,1
node7,node16,3
node34,node46,3
node16,node2,1
node14,node8,1
node34,node19,1
node22,node16,2
node40,node24,3
node10,node46,3
node3,node46,2
node24,node35,1
node36,node49,1
node41,node35,1
node30,node19,3
node23,node5,2
node47,node32,3
node14,node16,3
node25,node46,3
node20,node12,1
node17,node14,1
node42,node2,1
node49,node8,3
node28,node45,2
node28,node1,1
node42,node14,3
node20,node5,1
node34,node42,2
node36,node38,3
node14,node18,1
node18,node19,2
node26,node10,1
node19,node33,2
node47,node37,3
node37,node28,1
node50,node12,1
node29,node20,2
node37,node16,2
node38,node41,3
node27,node33,2
node26,node48,1
node8,node17,3
node29,node7,2
node31,node7,1
node45,node6,2
node23,node6,2
node26,node41,1
node24,node19,3
node6,node13,1
node15,node47,1
node16,node4,1
node1,node16,2
node42,node27,2
node13,node14,2
node25,node39,1
node2,node28,3
node6,node26,2
node3,node10,2
node49,node14,1
node25,node13,3
node17,node21,2
node8,node15,3
node13,node28,2
node23,node12,1
node49,node20,3
node39,node38,3
node6,node12,1
node50,node8,3
node38,node50,1
node3,node49,1
node10,node24,2
node18,node40,3
node26,node11,3
node8,node17,1
node32,node25,1
node25,node15,3
node42,node47,1
node5,node10,2
node36,node42,3
node33,node15,2
node42,node5,2
node27,node46,1
node36,node4,2
node6,node45,3
node10,node21,3
node13,node16,3
node2,node39,1
node2,node5,2
node13,node3,1
node34,node50,1
node12,node49,3
node48,node9,2
node48,node47,1
node7,node16,1
node39,node50,2
node27,node16,2
node15,node12,3
node43,node34,3
node45,node7,3
node39,node9,2
node36,node40,2
node20,node10,1
node22,node34,1
node28,node32,1
node2,node37,2
node37,node41,3
node31,node43,3
node19,node5,3
node41,node48,2
node1,node37,1
node13,node8,2
node23,node43,1
node18,node26,1
node25,node45,2
node7,node19,3
node50,node9,2
node18,node37,3
node22,node30,3
node20,node1,3
node34,node40,1
node44,node28,3
node16,node23,1
node43,node29,2
node40,node42,1
node41,node2,3
node27,node16,1
node49,node22,1
node9,node16,1
node27,node7,3
node43,node41,2
node4,node21,1
node28,node12,1
node20,node21,1
node12,node25,3
node29,node33,1
node10,node4,3
node12,node1,3
node11,node18,1
node24,node41,2
node10,node5,1
node45,node6,3
node36,node20,1
node21,node49,3
