from,to,layer
node33,node11,4
node72,node15,3
node21,node57,2
node74,node5,4
node38,node68,4
node36,node7,5
node18,node35,2
node5,node27,2
node3,node69,1
node20,node59,3
node70,node64,5
node35,node69,5
node1,node48,2
node1,node56,2
node21,node33,2
node26,node65,5
node12,node19,3
node47,node56,1
node35,node74,5
node57,node15,4
node54,node63,2
node12,node57,4
node51,node9,3
node40,node6,1
node57,node41,1
node40,node42,1
node13,node25,1
node16,node7,3
node58,node1,1
node17,node4,1
node1,node14,4
node27,node64,1
node28,node59,2
node21,node71,2
node59,node54,1
node37,node66,1
node26,node1,1
node72,node56,5
node73,node2,1
node24,node44,5
node15,node44,2
node72,node53,1
node30,node67,1
node20,node40,3
node9,node20,3
node63,node25,2
node56,node6,3
node56,node12,3
node54,node41,3
node71,node5,4
node8,node25,2
node15,node40,3
node46,node1,4
node58,node24,1
node42,node38,4
node48,node29,1
node27,node48,4
node23,node48,4
node60,node57,1
node35,node57,4
node65,node74,3
node31,node22,1
node9,node56,4
node32,node29,1
node41,node57,1
node29,node37,1
node48,node11,2
node47,node39,5
node14,node20,2
node68,node14,1
node42,node33,3
node28,node45,1
node8,node18,4
node47,node38,1
node59,node21,3
node1,node74,2
node16,node22,5
node39,node57,4
node1,node67,1
node55,node68,5
node62,node43,1
node35,node28,5
node12,node68,3
node44,node36,1
node2,node33,1
node50,node18,1
node9,node16,4
node11,node15,5
node35,node4,1
node5,node75,1
node20,node19,3
node30,node69,1
node68,node42,5
node56,node28,2
node18,node11,5
node22,node52,1
node26,node47,2
node62,node55,3
node75,node45,1
node28,node53,5
node19,node74,4
node6,node66,1
node18,node40,2
node18,node32,4
node64,node46,1
node57,node31,1
node31,node7,1
node66,node35,1
node1,node18,3
node45,node16,5
node40,node9,4
node71,node45,3
node16,node66,1
node74,node59,5
node42,node44,3
node71,node66,3
node47,node67,5
node13,node27,2
node30,node12,4
node47,node26,1
node52,node5,3
node61,node68,1
node11,node48,3
node32,node72,3
node67,node37,1
node39,node62,5
node49,node43,4
node4,node32,4
node47,node62,5
node28,node75,2
node28,node59,4
node32,node58,2
node58,node36,2
node23,node25,4
node26,node39,1
node74,node15,1
node35,node12,4
node5,node13,5
node45,node64,2
node49,node3,1
node74,node19,5
node35,node24,5
node71,node16,5
node22,node20,5
node5,node9,2
node68,node16,4
node16,node26,1
node49,node41,5
node64,node55,4
node3,node75,5
node21,node2,1
node60,node25,3
node27,node38,5
node27,node57,2
node6,node61,3
node31,node13,4
node16,node54,2
node71,node9,1
node68,node29,1
node67,node23,2
node22,node11,2
node24,node1,1
node22,node30,5
node19,node25,3
node31,node11,1
node11,node1,1
node55,node18,3
node45,node62,5
node6,node19,2
node7,node57,2
node4,node66,4
node41,node29,5
node41,node28,1
node59,node2,3
node71,node13,2
node27,node41,3
node75,node57,5
node65,node24,5
node5,node43,3
node26,node9,5
node20,node57,1
node53,node20,5
node10,node58,4
node17,node42,4
node74,node8,4
node22,node60,5
node40,node63,2
node2,node70,1
node61,node16,4
node51,node75,2
node7,node48,2
node16,node24,3
node12,node29,4
node64,node20,3
node16,node37,4
node61,node7,5
node59,node4,4
node4,node25,3
node31,node36,2
node53,node55,1
node2,node44,3
node10,node20,1
node72,node33,3
node29,node54,1
node72,node53,4
node35,node41,5
node54,node24,2
node17,node64,1
node39,node10,4
node69,node40,3
node35,node49,2
node40,node38,5
node39,node26,4
node68,node39,5
node71,node52,1
node12,node38,1
node36,node25,1
node3,node13,1
node62,node7,5
node33,node67,2
node22,node71,3
node23,node19,4
node56,node5,1
node15,node63,4
node63,node3,1
node63,node28,5
node5,node67,2
node64,node15,5
node10,node42,3
node18,node56,3
node10,node58,2
node15,node48,1
node39,node15,5
node53,node41,5
node49,node14,2
node33,node55,3
node2,node55,3
node47,node46,4
node43,node63,3
node66,node16,4
node2,node57,1
node14,node62,2
node73,node63,2
node41,node22,1
node40,node51,1
node25,node43,1
node56,node5,4
node45,node54,1
node39,node60,5
