from,to,layer
node3,node21,1
node17,node18,1
node5,node24,2
node1,node22,2
node10,node5,1
node23,node26,2
node6,node12,1
node18,node5,2
node11,node18,1
node30,node1,1
node20,node12,1
node28,node29,1
node29,node1,1
node11,node26,2
node6,node17,2
node11,node25,2
node25,node18,1
node17,node16,2
node23,node17,2
node24,node6,1
node1,node4,2
node27,node11,2
node12,node2,2
node25,node2,2
node20,node2,2
node25,node30,1
node1,node10,2
node17,node27,1
node9,node21,2
node24,node22,1
node9,node27,1
node12,node27,1
node28,node26,2
node1,node30,2
node22,node19,2
node18,node12,2
node14,node4,1
node8,node25,1
node1,node25,2
node25,node17,2
node13,node23,1
node3,node26,1
node17,node7,1
node21,node1,1
node16,node19,1
node10,node22,2
node6,node30,2
node16,node9,1
node16,node5,2
node7,node4,1
node21,node14,1
node23,node6,1
node12,node8,2
node30,node4,2
node20,node4,1
node1,node13,2
node20,node2,1
node3,node26,2
node1,node22,1
node29,node23,1
node25,node14,2
node2,node22,1
node12,node15,2
node26,node30,2
node23,node26,1
node17,node11,1
node5,node3,1
node8,node11,2
node28,node23,2
node17,node4,1
node13,node10,2
node5,node8,2
node13,node15,2
node7,node25,1
node4,node8,2
node13,node18,2
node30,node27,2
node15,node18,2
node12,node16,1
node14,node18,2
node13,node1,2
node16,node8,2
node15,node9,1
node18,node17,1
node19,node20,2
node19,node9,2
node24,node7,1
node30,node27,1
node30,node12,2
node25,node11,2
node5,node19,2
node25,node11,1
node13,node10,1
node12,node9,1
node11,node16,1
node5,node23,1
node8,node20,2
node22,node29,2
node3,node11,1
