from,to,layer
node42,node50,1
node23,node67,1
node17,node19,1
node74,node68,1
node66,node20,1
node26,node41,2
node72,node6,2
node73,node5,2
node72,node1,1
node42,node59,2
node38,node37,2
node74,node35,1
node13,node63,2
node75,node59,2
node55,node54,2
node71,node74,1
node32,node10,1
node4,node70,1
node13,node49,2
node22,node63,1
node37,node67,1
node46,node20,2
node66,node3,1
node25,node10,2
node67,node42,2
node25,node35,1
node64,node55,2
node16,node24,1
node35,node67,1
node50,node70,2
node12,node30,2
node68,node30,2
node27,node36,1
node55,node49,2
node45,node4,1
node70,node51,1
node34,node35,1
node67,node30,1
node55,node59,1
node75,node66,1
node36,node61,2
node55,node1,2
node69,node16,1
node58,node1,2
node59,node58,2
node46,node14,1
node15,node7,2
node9,node5,2
node33,node30,1
node18,node66,2
node56,node53,2
node21,node25,2
node73,node70,1
node26,node10,1
node13,node34,1
node23,node63,2
node55,node4,1
node44,node55,1
node5,node45,1
node9,node68,2
node16,node32,2
node30,node10,2
node69,node18,1
node69,node7,2
node66,node65,2
node5,node6,2
node6,node25,1
node10,node14,1
node30,node49,2
node44,node29,2
node28,node47,2
node41,node45,2
node63,node51,2
node18,node49,2
node44,node25,1
node37,node36,1
node64,node73,2
node13,node59,2
node45,node70,2
node19,node34,1
node40,node71,1
node59,node62,2
node35,node44,1
node20,node3,2
node55,node54,1
node15,node75,2
node37,node66,2
node72,node65,2
node15,node8,2
node53,node29,2
node16,node7,2
node60,node58,2
node2,node27,2
node52,node55,1
node35,node50,1
node60,node27,1
node48,node1,1
node39,node44,1
node30,node63,2
node62,node35,1
node40,node73,2
node58,node53,1
node74,node62,2
node9,node63,1
node41,node74,1
node7,node57,1
node38,node47,2
node21,node24,2
node50,node54,1
node29,node25,2
node5,node59,1
node1,node53,2
node47,node64,2
node42,node71,2
node50,node57,1
node34,node33,2
node60,node42,2
node3,node35,1
node31,node36,2
node47,node22,2
node50,node75,1
node57,node25,1
node65,node4,2
node54,node52,2
node75,node4,1
node35,node31,2
node2,node50,1
node7,node64,2
node38,node50,1
node26,node59,2
node11,node14,1
node67,node61,1
node22,node54,2
node4,node72,1
node60,node39,1
node6,node10,2
node35,node57,2
node56,node74,2
node74,node60,1
node35,node60,1
node3,node34,2
node19,node62,1
node23,node32,2
node65,node52,2
node28,node64,2
node13,node37,2
node62,node15,2
node42,node49,2
node69,node9,2
node46,node41,2
node23,node72,1
node44,node48,1
node45,node36,1
node56,node12,2
node69,node53,2
node53,node2,1
node58,node33,1
node70,node68,1
node3,node5,1
node62,node41,1
node11,node8,1
node40,node5,2
node36,node63,1
node68,node9,1
node2,node51,2
node38,node74,1
node17,node54,1
node7,node66,1
node7,node72,2
node32,node37,1
node64,node3,2
node12,node10,2
node14,node19,1
node37,node15,2
node57,node7,1
node47,node69,1
node63,node18,2
node42,node69,1
node21,node41,1
node41,node61,2
node35,node54,2
node45,node46,2
node54,node72,2
node51,node69,1
node72,node51,2
node66,node67,1
node59,node16,1
node67,node60,2
node68,node51,2
node53,node2,2
node50,node18,2
node3,node26,2
node15,node13,1
node56,node32,1
node2,node46,1
node36,node63,2
node40,node10,2
node44,node47,2
node30,node40,2
node17,node34,2
node36,node68,2
node70,node28,2
node28,node39,2
node52,node7,2
node70,node73,1
node11,node18,2
node52,node54,2
node1,node35,2
node74,node30,1
node74,node2,2
node13,node48,2
node15,node44,1
node44,node2,1
node67,node4,2
node27,node14,1
node15,node26,2
node48,node60,1
node38,node5,2
node48,node70,2
node24,node40,2
node4,node10,2
node56,node3,1
node58,node40,1
node23,node72,2
node48,node4,1
node14,node58,1
node69,node36,2
node22,node32,2
node20,node65,1
node29,node28,1
node53,node44,1
node11,node4,2
node1,node44,2
node71,node6,1
node18,node20,2
node24,node51,2
node60,node45,1
node25,node74,2
node65,node19,1
node14,node65,2
node52,node19,2
node26,node29,1
node36,node28,2
node32,node12,1
node49,node23,1
node2,node16,2
node65,node55,1
node69,node48,2
node75,node70,1
