from,to,layer
node26,node19,2
node12,node2,1
node3,node30,3
node35,node20,1
node24,node22,2
node42,node35,2
node32,node27,2
node21,node39,2
node44,node30,3
node41,node19,1
node40,node31,1
node43,node35,2
node1,node18,1
node48,node10,1
node31,node7,2
node33,node14,2
node42,node44,2
node32,node39,2
node20,node25,3
node24,node11,1
node33,node12,3
node15,node5,1
node25,node11,2
node17,node16,3
node23,node49,2
node30,node32,1
node34,node32,1
node26,node22,3
node26,node16,2
node15,node11,3
node14,node37,2
node21,node43,2
node29,node45,1
node34,node6,3
node50,node23,3
node45,node22,3
node40,node12,1
node48,node30,1
node13,node33,2
node17,node38,1
node5,node33,1
node30,node21,2
node28,node45,2
node40,node47,2
node9,node5,2
node41,node10,2
node35,node13,3
node41,node16,1
node28,node36,3
node11,node40,1
node33,node41,2
node10,node43,1
node17,node44,2
node16,node32,1
node48,node27,1
node7,node40,2
node27,node24,1
node28,node33,3
node44,node47,3
node7,node39,2
node11,node32,2
node14,node46,1
node24,node15,3
node6,node24,3
node34,node43,1
node39,node49,2
node29,node24,3
node39,node26,1
node12,node1,3
node49,node16,1
node30,node43,2
node25,node36,1
node2,node16,3
node40,node6,1
node40,node18,2
node5,node10,1
node25,node49,1
node37,node23,2
node27,node44,1
node22,node26,3
node45,node35,1
node4,node38,3
node13,node31,3
node30,node17,3
node24,node50,2
node5,node19,3
node5,node47,1
node46,node24,1
node6,node1,1
node8,node29,1
node30,node47,3
node13,node12,3
node47,node1,1
node22,node26,2
node43,node18,3
node28,node21,2
node22,node49,1
node36,node9,2
node15,node50,2
node16,node23,1
node7,node6,1
node20,node30,2
node45,node47,3
node10,node42,2
node24,node18,2
node4,node45,2
node15,node12,2
node47,node35,2
node29,node6,1
node34,node42,2
node20,node36,1
node7,node17,1
node5,node33,3
node38,node49,3
node25,node27,3
node45,node24,2
node36,node16,1
node20,node27,2
node2,node42,2
node50,node33,2
node8,node15,2
node6,node44,2
node16,node18,2
node13,node27,2
node42,node11,2
node30,node7,1
node8,node42,2
node40,node21,3
node48,node11,3
node46,node42,1
node40,node9,1
node24,node48,1
node28,node43,2
node2,node26,3
node18,node36,3
node30,node38,3
node7,node32,2
node21,node15,2
node11,node38,2
node3,node28,2
node29,node42,1
node22,node32,2
node19,node48,2
node9,node18,3
node2,node11,2
node46,node7,3
node2,node37,2
node23,node14,1
node14,node37,1
node12,node16,3
node46,node39,1
node37,node45,1
node15,node37,2
node10,node39,3
node38,node43,3
node10,node34,3
node36,node1,2
node50,node15,1
node9,node16,3
node2,node13,2
node2,node3,3
node50,node24,1
node10,node41,2
node17,node6,3
node5,node18,1
node7,node31,2
node2,node27,3
node10,node30,1
node35,node42,2
node47,node46,2
node26,node36,1
node35,node23,2
node32,node29,2
node34,node40,3
node9,node5,3
node13,node1,2
node35,node36,1
node1,node50,1
node8,node47,2
node29,node26,1
node45,node44,2
node15,node31,3
node46,node7,1
node9,node16,2
node11,node27,3
node42,node44,1
node14,node17,2
node46,node14,3
node35,node14,3
node27,node20,3
node29,node42,2
node43,node49,3
node50,node47,3
node46,node19,2
node7,node24,2
node43,node7,1
node17,node9,1
node44,node4,2
node37,node33,2
node33,node6,1
node39,node14,1
node11,node37,2
node46,node43,3
node29,node37,1
node49,node28,1
node1,node45,1
node33,node6,2
node35,node39,2
node19,node5,2
node48,node38,2
node19,node31,3
node3,node9,1
node15,node4,1
node9,node29,3
node25,node39,3
node30,node18,2
node12,node35,1
node36,node6,2
node42,node31,2
node4,node22,1
node44,node33,3
node31,node8,3
node19,node22,1
node19,node38,1
node39,node49,1
node22,node27,1
node6,node30,2
node8,node21,1
node17,node18,3
node22,node14,2
node27,node33,3
node47,node19,3
node21,node41,1
node27,node50,2
node33,node37,2
node46,node3,1
node29,node13,2
node40,node36,2
node29,node6,3
node48,node13,1
node5,node31,3
node5,node1,3
node16,node6,3
node32,node34,2
node15,node36,1
node41,node43,2
node5,node11,2
node24,node26,1
node3,node23,3
