from,to,layer
node3,node2,1
node2,node48,3
node30,node2,2
node1,node14,2
node15,node41,1
node35,node47,2
node17,node42,2
node23,node21,2
node18,node38,1
node9,node28,3
node14,node40,3
node29,node26,1
node8,node26,1
node30,node16,1
node44,node19,2
node29,node9,2
node24,node18,1
node36,node48,1
node20,node2,2
node39,node21,3
node4,node24,3
node9,node23,3
node2,node27,1
node34,node33,2
node29,node11,1
node20,node46,1
node15,node4,3
node34,node39,2
node22,node38,1
node24,node40,2
node5,node38,1
node5,node33,3
node19,node26,3
node45,node18,3
node19,node35,3
node12,node2,2
node40,node38,2
node13,node9,3
node33,node3,1
node17,node11,1
node12,node30,3
node12,node38,1
node32,node28,3
node18,node22,3
node23,node38,2
node35,node27,1
node26,node45,2
node6,node49,2
node2,node31,2
node28,node4,2
node18,node23,1
node5,node29,2
node23,node45,1
node17,node33,1
node32,node13,2
node13,node12,3
node25,node35,1
node10,node39,1
node28,node16,3
node33,node45,2
node45,node32,3
node25,node3,2
node34,node38,1
node7,node30,2
node14,node30,3
node24,node38,3
node40,node13,2
node48,node14,3
node34,node7,2
node9,node42,1
node1,node4,3
node45,node29,1
node1,node21,3
node34,node5,3
node24,node7,3
node1,node17,1
node3,node8,2
node19,node15,2
node49,node45,2
node14,node22,3
node33,node35,2
node40,node15,3
node34,node1,3
node10,node42,3
node42,node19,2
node49,node30,3
node38,node9,2
node39,node29,3
node44,node4,1
node2,node14,1
node24,node36,2
node28,node23,1
node15,node26,2
node25,node4,2
node18,node1,2
node34,node38,3
node32,node26,2
node21,node39,3
node4,node14,1
node47,node32,1
node47,node42,3
node36,node49,1
node8,node11,3
node28,node15,1
node36,node31,3
node9,node27,3
node47,node46,1
node37,node14,1
node50,node25,2
node50,node49,3
node28,node7,1
node16,node5,3
node28,node49,3
node22,node3,1
node38,node43,2
node44,node12,3
node21,node43,1
node6,node24,2
node22,node30,2
node19,node16,3
node41,node17,2
node11,node2,3
node43,node18,2
node10,node39,3
node35,node28,3
node31,node36,2
node11,node9,1
node49,node35,1
node25,node27,2
node43,node26,3
node31,node20,2
node46,node27,3
node12,node24,2
node34,node45,2
node13,node7,1
node9,node42,2
node5,node18,2
node11,node22,2
node46,node13,3
node15,node29,2
node8,node12,3
node21,node47,1
node31,node6,2
node40,node20,2
node50,node11,1
node3,node48,3
node13,node18,1
node30,node9,2
node40,node21,2
node44,node47,1
node49,node32,2
node38,node19,2
node14,node37,2
node45,node19,3
node43,node39,1
node17,node41,3
node28,node20,2
node36,node22,2
node26,node9,3
node23,node16,3
node13,node8,3
node37,node45,3
node44,node43,1
node21,node26,3
node19,node40,2
node2,node12,3
node29,node11,3
node7,node36,2
node34,node20,3
node40,node23,3
node38,node11,2
node1,node16,1
node28,node26,3
node35,node48,2
node25,node46,3
node28,node22,2
node14,node25,1
node50,node2,3
node45,node20,1
node36,node43,2
node14,node43,2
node47,node48,2
node22,node9,1
node15,node44,2
node18,node22,2
node47,node36,3
node4,node1,3
node33,node18,3
node17,node30,1
node28,node12,1
node50,node23,2
node41,node12,2
node9,node29,1
node1,node20,1
node9,node27,2
node20,node19,1
node3,node29,3
node40,node27,3
node22,node9,3
node24,node8,1
node48,node17,1
node18,node36,1
node42,node28,1
node17,node5,1
node8,node17,3
node21,node25,1
node45,node24,1
node2,node31,3
node46,node11,2
node9,node10,1
node22,node19,1
node21,node26,2
node48,node2,1
node41,node7,1
node3,node2,2
node43,node27,3
node36,node41,2
node29,node32,3
node43,node10,2
node32,node49,3
node23,node20,3
node37,node6,2
node36,node28,3
node17,node46,3
node47,node24,1
node49,node43,1
node49,node22,3
node17,node42,1
node24,node36,3
node19,node22,3
node18,node39,3
node2,node12,1
node33,node14,3
node42,node41,2
node3,node35,3
node25,node50,3
node30,node47,2
node3,node34,2
node12,node48,3
node10,node9,1
node45,node8,1
node37,node13,3
node42,node29,1
node43,node34,1
node23,node18,1
node18,node26,3
node5,node44,2
node26,node23,2
node25,node29,2
