from,to,layer
node8,node27,1
node20,node12,1
node29,node9,2
node11,node6,2
node22,node29,1
node3,node18,2
node17,node30,1
node15,node2,1
node20,node27,1
node1,node26,2
node6,node19,2
node14,node19,2
node3,node18,1
node5,node19,2
node9,node5,1
node21,node14,1
node20,node11,2
node30,node12,1
node25,node20,2
node1,node17,1
node10,node17,1
node21,node1,2
node15,node17,2
node2,node5,2
node19,node2,2
node9,node27,1
node11,node19,1
node24,node21,1
node16,node5,1
node20,node11,1
node23,node1,2
node8,node21,2
node16,node9,2
node12,node21,1
node11,node18,1
node12,node28,1
node18,node19,2
node16,node17,2
node17,node6,1
node23,node16,1
node4,node2,2
node23,node4,2
node14,node12,2
node20,node29,1
node21,node13,1
node28,node21,2
node18,node24,2
node18,node17,1
node29,node3,1
node23,node18,1
node10,node8,1
node9,node2,1
node21,node8,2
node10,node11,2
node12,node8,1
node18,node15,1
node15,node30,1
node2,node8,1
node22,node28,1
node22,node13,1
node10,node1,2
node14,node22,1
node28,node23,1
node9,node8,1
node14,node23,1
node12,node26,2
node1,node7,1
node23,node16,2
node3,node27,2
node5,node25,2
node20,node5,2
node25,node18,2
node16,node11,1
node8,node29,2
node17,node28,2
node1,node19,2
node16,node18,2
node22,node1,1
node27,node30,1
node2,node27,1
node20,node17,2
node26,node22,2
node20,node23,1
node7,node9,1
node29,node26,2
node3,node26,1
node18,node3,1
node12,node24,1
node18,node4,1
node21,node5,2
node17,node12,1
node8,node21,1
node15,node27,2
node20,node14,1
node4,node10,1
node2,node15,2
node20,node6,1
node19,node23,2
node30,node18,2
