from,to,layer
node70,node73,1
node42,node66,1
node14,node34,2
node16,node28,2
node21,node31,1
node56,node9,1
node29,node63,2
node52,node56,1
node53,node4,2
node34,node48,1
node44,node19,1
node66,node48,1
node36,node5,2
node19,node6,2
node67,node55,1
node48,node9,1
node39,node46,1
node68,node28,2
node4,node14,2
node50,node37,2
node66,node29,1
node23,node39,2
node75,node18,1
node35,node68,2
node14,node5,1
node21,node28,2
node53,node49,1
node12,node24,2
node57,node7,2
node41,node17,1
node33,node50,1
node20,node34,1
node44,node8,2
node19,node14,2
node66,node14,1
node49,node16,2
node51,node68,1
node19,node54,2
node37,node25,2
node45,node30,2
node34,node43,2
node69,node25,2
node44,node67,2
node18,node60,2
node10,node9,2
node54,node21,2
node32,node3,2
node13,node47,2
node40,node60,1
node30,node32,1
node64,node60,1
node12,node63,1
node22,node8,2
node24,node32,1
node63,node37,1
node55,node24,2
node2,node53,2
node56,node46,1
node29,node59,1
node39,node74,2
node68,node39,1
node40,node49,1
node10,node28,1
node22,node26,2
node58,node50,1
node40,node59,2
node58,node10,2
node67,node27,2
node4,node29,1
node27,node6,1
node51,node31,1
node4,node5,2
node37,node70,1
node12,node5,1
node18,node40,2
node16,node24,2
node17,node65,2
node38,node4,1
node3,node55,1
node4,node40,1
node18,node74,2
node16,node58,1
node69,node44,1
node39,node44,1
node2,node22,2
node32,node60,1
node38,node44,2
node4,node28,2
node44,node34,2
node30,node5,1
node56,node8,2
node47,node7,1
node57,node48,1
node11,node32,1
node75,node14,2
node38,node52,1
node43,node42,2
node17,node3,1
node29,node45,2
node32,node23,1
node15,node4,2
node19,node71,2
node11,node72,2
node36,node46,2
node44,node58,1
node73,node26,1
node57,node51,1
node32,node13,1
node51,node27,1
node43,node55,1
node35,node22,2
node10,node40,2
node24,node53,2
node23,node54,2
node64,node57,2
node15,node24,2
node3,node71,1
node22,node69,2
node43,node75,2
node59,node16,2
node41,node24,2
node18,node28,1
node15,node65,2
node5,node27,1
node26,node36,2
node71,node21,1
node18,node2,2
node71,node8,2
node43,node30,1
node24,node41,1
node38,node52,2
node43,node56,1
node58,node1,1
node19,node11,1
node70,node52,1
node64,node25,2
node14,node61,2
node43,node62,2
node62,node46,2
node55,node43,1
node63,node26,1
node42,node9,1
node20,node46,1
node7,node1,2
node56,node11,2
node32,node17,1
node72,node29,1
node11,node48,2
node7,node24,1
node40,node55,1
node21,node14,2
node30,node48,2
node47,node34,1
node11,node57,1
node26,node32,1
node54,node46,2
node43,node60,2
node17,node5,1
node14,node20,1
node53,node33,1
node49,node21,1
node22,node8,1
node68,node36,1
node41,node21,1
node7,node72,1
node44,node2,1
node13,node30,1
node7,node3,2
node11,node29,1
node1,node51,1
node11,node3,1
node28,node68,2
node65,node70,2
node7,node12,1
node67,node18,1
node17,node38,1
node31,node35,2
node71,node19,2
node35,node51,1
node73,node41,1
node75,node2,1
node72,node26,2
node31,node41,1
node66,node23,1
node7,node45,2
node51,node18,1
node48,node3,1
node5,node59,2
node1,node19,1
node59,node17,2
node63,node61,1
node46,node16,2
node53,node39,2
node14,node58,2
node22,node37,2
node10,node75,2
node40,node63,2
node50,node40,2
node22,node73,2
node25,node26,1
node12,node10,2
node24,node53,1
node47,node23,2
node33,node54,1
node36,node57,1
node41,node46,1
node2,node19,2
node72,node31,1
node2,node3,1
node55,node56,2
node45,node49,2
node26,node13,2
node25,node15,2
node63,node41,2
node23,node44,1
node35,node9,1
node65,node34,2
node74,node8,2
node33,node49,2
node5,node48,2
node64,node47,1
node30,node12,1
node62,node34,2
node52,node60,2
node74,node63,1
node10,node48,1
node35,node58,1
node17,node67,1
node4,node9,1
node34,node24,1
node6,node33,1
node38,node14,2
node35,node41,2
node35,node10,1
node42,node53,2
node72,node25,1
node49,node33,2
node41,node52,1
node54,node17,2
node24,node39,1
node59,node60,2
node46,node67,1
node32,node24,1
node34,node33,1
node56,node51,2
node56,node73,2
node13,node17,1
node18,node35,1
node56,node11,1
