from,to,layer
node1,node12,1
node15,node7,2
node25,node12,3
node13,node8,2
node12,node18,2
node24,node1,2
node16,node27,1
node11,node19,1
node29,node4,2
node27,node26,1
node7,node18,3
node11,node19,3
node3,node15,2
node20,node27,2
node4,node19,2
node26,node18,2
node7,node18,1
node22,node25,3
node21,node5,1
node10,node25,3
node23,node9,1
node9,node8,2
node14,node13,3
node10,node3,2
node5,node18,3
node13,node1,2
node13,node18,3
node29,node13,3
node26,node11,1
node30,node9,1
node7,node9,1
node2,node25,3
node12,node9,3
node20,node8,1
node18,node4,2
node2,node3,3
node20,node6,3
node8,node3,1
node26,node1,1
node16,node14,3
node21,node10,3
node17,node1,3
node25,node2,3
node2,node3,1
node27,node29,3
node18,node30,2
node7,node10,2
node27,node12,1
node23,node5,1
node10,node16,3
node7,node1,1
node18,node8,3
node2,node11,3
node4,node22,3
node23,node30,1
node6,node18,1
node30,node3,1
node2,node26,3
node1,node22,1
node5,node30,1
node3,node2,2
node25,node12,2
node21,node13,1
node25,node17,2
node15,node2,3
node12,node23,1
node9,node3,2
node26,node8,2
node28,node2,1
node19,node22,2
node7,node3,1
node14,node9,2
node28,node27,2
node14,node21,2
node12,node28,1
node14,node25,2
node17,node8,3
node19,node7,3
node18,node26,2
node18,node29,2
node27,node24,3
node17,node15,3
node28,node14,1
node30,node9,2
node14,node22,2
node20,node3,2
node23,node13,1
node2,node21,2
node24,node14,3
node7,node2,2
node12,node17,2
node3,node4,2
node21,node30,3
node8,node6,3
node30,node20,3
node15,node1,3
node18,node2,1
node8,node10,1
node26,node23,1
