from,to,layer
node22,node21,2
node1,node22,3
node9,node12,3
node22,node24,3
node10,node17,3
node11,node5,1
node24,node2,2
node19,node14,1
node25,node10,1
node3,node16,1
node14,node9,3
node26,node23,3
node19,node10,1
node12,node28,1
node5,node11,2
node7,node17,2
node10,node23,1
node13,node28,3
node30,node20,3
node1,node26,2
node6,node12,1
node12,node9,2
node12,node30,2
node10,node17,1
node4,node25,2
node28,node27,1
node12,node26,1
node27,node30,1
node5,node8,3
node11,node9,3
node29,node22,2
node29,node28,1
node27,node20,1
node4,node14,2
node22,node30,1
node6,node20,3
node17,node26,1
node23,node30,2
node30,node3,2
node10,node5,1
node6,node28,2
node25,node28,3
node30,node15,1
node22,node25,3
node16,node6,3
node11,node21,1
node30,node23,2
node20,node13,1
node16,node5,1
node26,node18,1
node2,node8,2
node15,node9,3
node23,node9,2
node24,node1,1
node1,node8,1
node16,node14,2
node26,node7,3
node15,node18,2
node24,node28,2
node7,node27,2
node1,node4,1
node21,node15,2
node17,node24,2
node28,node12,3
node26,node9,2
node12,node8,2
node30,node27,3
node19,node18,3
node30,node29,1
node14,node17,2
node12,node30,1
node3,node7,2
node18,node9,2
node14,node24,3
node6,node2,1
node2,node9,2
node9,node24,3
node1,node29,2
node12,node10,1
node14,node23,2
node29,node14,3
node11,node29,3
node1,node26,3
node8,node11,3
node3,node22,1
node18,node22,1
node9,node12,2
node19,node20,2
node26,node9,1
node16,node29,2
node7,node25,2
node15,node28,2
node17,node25,2
node24,node8,1
node25,node11,1
node13,node16,2
node15,node27,2
node11,node22,3
node26,node28,3
