from,to,layer
node7,node41,1
node44,node121,5
node9,node10,2
node36,node112,3
node46,node37,3
node66,node16,4
node4,node123,1
node70,node87,1
node117,node39,3
node94,node55,5
node120,node16,4
node62,node1,2
node27,node82,4
node106,node105,2
node107,node89,5
node12,node89,1
node59,node43,5
node16,node119,2
node104,node75,4
node26,node57,2
node105,node92,1
node51,node95,5
node9,node36,5
node12,node87,4
node123,node113,5
node118,node119,5
node84,node89,1
node84,node38,4
node122,node94,4
node55,node39,5
node116,node122,2
node56,node42,5
node41,node79,2
node37,node93,4
node69,node27,4
node84,node105,3
node57,node60,3
node72,node49,3
node110,node48,3
node114,node4,2
node69,node123,2
node60,node54,1
node54,node106,5
node38,node67,2
node58,node7,3
node100,node21,4
node114,node87,4
node65,node41,1
node37,node26,5
node47,node79,5
node97,node21,1
node40,node35,4
node46,node37,5
node34,node29,5
node115,node80,4
node38,node53,5
node67,node120,3
node38,node108,4
node102,node18,4
node72,node24,5
node111,node3,1
node85,node84,4
node72,node33,3
node30,node2,2
node47,node25,5
node66,node13,1
node70,node122,2
node42,node7,2
node55,node23,2
node17,node11,2
node4,node29,5
node91,node44,1
node97,node66,5
node27,node114,4
node38,node110,3
node44,node97,5
node7,node93,2
node110,node11,2
node98,node54,1
node15,node123,5
node101,node89,4
node85,node11,2
node69,node120,1
node64,node65,2
node73,node99,5
node24,node67,3
node79,node1,3
node50,node80,1
node38,node5,4
node40,node83,3
node12,node85,2
node33,node34,1
node118,node23,1
node29,node12,2
node52,node42,5
node24,node108,2
node74,node59,4
node102,node7,2
node34,node38,5
node27,node114,5
node111,node76,4
node6,node12,2
node123,node85,3
node93,node61,1
node100,node28,3
node95,node80,1
node23,node74,5
node59,node29,3
node103,node83,4
node9,node74,4
node90,node39,1
node122,node35,5
node69,node31,5
node55,node71,3
node79,node27,5
node55,node101,5
node58,node33,2
node62,node77,4
node52,node1,3
node69,node20,2
node70,node17,4
node55,node112,5
node43,node38,5
node47,node44,4
node3,node13,5
node32,node121,5
node81,node22,2
node101,node8,5
node78,node57,1
node121,node120,3
node84,node75,5
node56,node15,4
node72,node35,1
node96,node99,1
node70,node35,4
node44,node48,1
node108,node35,5
node87,node57,3
node107,node56,2
node61,node107,1
node114,node72,1
node105,node49,2
node98,node113,5
node12,node115,5
node3,node113,4
node18,node84,3
node69,node24,4
node34,node104,4
node14,node70,5
node100,node1,1
node14,node40,2
node59,node26,3
node2,node63,2
node104,node42,4
node42,node125,2
node100,node15,5
node3,node48,3
node123,node75,4
node54,node118,3
node77,node86,3
node125,node122,2
node4,node113,5
node49,node38,3
node59,node68,5
node116,node68,1
node110,node60,2
node56,node3,3
node32,node3,5
node88,node9,2
node89,node106,2
node54,node31,5
node15,node86,4
node7,node17,1
node121,node79,5
node33,node74,4
node2,node60,1
node115,node78,4
node118,node124,5
node53,node121,3
node25,node60,4
node20,node47,5
node68,node124,3
node106,node14,5
node37,node14,5
node50,node55,3
node44,node70,3
node124,node84,1
node92,node81,1
node96,node62,2
node25,node15,1
node32,node11,3
node36,node64,3
node22,node40,3
node122,node26,2
node23,node21,2
node77,node112,5
node52,node47,4
node32,node84,1
node105,node104,2
node10,node41,4
node103,node97,4
node63,node106,2
node103,node42,3
node2,node21,2
node44,node123,1
node108,node75,2
node124,node15,4
node93,node26,4
node89,node106,5
node6,node5,1
node42,node67,2
node55,node16,1
node6,node66,4
node48,node50,4
node28,node27,5
node102,node75,2
node21,node30,5
node10,node72,5
node33,node102,5
node61,node77,2
node61,node46,1
node27,node99,3
node3,node25,1
node44,node69,1
node1,node43,3
node95,node1,1
node85,node66,4
node99,node42,4
node50,node45,1
node83,node58,3
node51,node87,3
node67,node120,5
node39,node13,2
node9,node58,5
node68,node67,2
node48,node72,2
node82,node114,3
node101,node103,5
node84,node117,1
node112,node115,3
node2,node63,1
node49,node84,4
node46,node71,1
node102,node103,3
node14,node100,1
node26,node45,2
node28,node77,3
node118,node35,3
node125,node78,2
