from,to,layer
node26,node5,2
node18,node19,2
node28,node11,2
node2,node36,3
node38,node23,1
node27,node22,1
node29,node16,2
node26,node42,2
node49,node2,1
node24,node3,1
node40,node10,3
node7,node29,1
node17,node13,3
node20,node47,3
node18,node14,1
node3,node24,3
node29,node24,3
node8,node37,1
node8,node23,2
node41,node22,3
node45,node43,2
node46,node1,2
node47,node41,3
node34,node47,3
node4,node40,1
node1,node31,1
node41,node31,3
node27,node43,1
node37,node43,2
node24,node33,2
node21,node47,2
node17,node3,1
node1,node31,2
node48,node41,2
node47,node12,3
node13,node46,3
node4,node3,1
node18,node8,3
node5,node41,3
node13,node8,2
node2,node22,3
node31,node14,2
node1,node43,1
node16,node45,2
node14,node11,2
node9,node2,2
node25,node48,1
node50,node1,3
node19,node30,3
node18,node49,2
node34,node11,1
node20,node30,3
node24,node12,3
node10,node31,2
node19,node18,1
node17,node47,2
node4,node47,2
node50,node16,1
node46,node6,1
node8,node5,3
node3,node42,3
node42,node20,3
node39,node41,2
node13,node7,3
node28,node50,3
node27,node25,1
node3,node19,1
node33,node23,2
node14,node19,2
node11,node42,2
node49,node48,1
node37,node45,1
node29,node6,1
node43,node16,1
node43,node7,2
node25,node39,2
node27,node25,3
node25,node31,1
node46,node3,3
node47,node12,1
node38,node50,1
node46,node7,2
node47,node17,2
node23,node47,2
node50,node14,1
node31,node47,3
node35,node14,3
node26,node41,1
node2,node34,1
node32,node20,3
node3,node40,3
node2,node11,1
node17,node15,3
node8,node23,3
node26,node34,2
node2,node32,3
node5,node44,1
node31,node7,3
node43,node17,2
