from,to,layer
node28,node38,2
node38,node45,1
node10,node14,2
node30,node40,2
node27,node16,2
node12,node29,2
node29,node19,2
node50,node23,1
node42,node32,2
node36,node9,1
node27,node31,2
node44,node42,1
node4,node6,1
node1,node21,2
node5,node1,1
node40,node27,2
node9,node3,1
node45,node48,1
node8,node19,1
node45,node14,1
node33,node11,2
node40,node13,1
node32,node30,2
node46,node7,1
node41,node34,1
node22,node9,1
node11,node1,1
node49,node36,1
node5,node22,2
node16,node44,1
node24,node46,2
node31,node37,1
node12,node3,1
node40,node29,2
node28,node31,1
node43,node6,1
node12,node2,1
node26,node43,1
node15,node36,2
node13,node37,2
node38,node10,1
node35,node18,1
node40,node27,1
node33,node12,2
node12,node1,2
node5,node44,1
node44,node14,1
node23,node16,2
node6,node2,2
node1,node30,2
node40,node5,1
node43,node32,1
node21,node6,2
node20,node41,1
node28,node18,1
node7,node32,2
node1,node3,2
node4,node38,2
node48,node36,2
node14,node47,1
node27,node29,1
node31,node20,1
node22,node44,2
node28,node29,2
node41,node17,1
node29,node25,2
node31,node5,1
node26,node5,1
node42,node25,2
node28,node38,1
node50,node49,1
node3,node28,1
node5,node26,2
node13,node44,2
node46,node11,1
node47,node44,2
node22,node43,1
node27,node39,1
node47,node24,1
node3,node39,1
node28,node21,2
node3,node12,1
node19,node4,1
node47,node21,2
node6,node45,2
node25,node30,2
node33,node21,1
node13,node4,2
node6,node18,1
node10,node11,1
node16,node2,2
node2,node4,1
node21,node49,2
node41,node15,1
node45,node23,2
node14,node3,1
node39,node30,2
node3,node42,1
node41,node14,1
