from,to,layer
node39,node6,1
node39,node37,2
node11,node22,1
node50,node32,2
node1,node19,2
node16,node41,1
node25,node43,2
node27,node4,2
node45,node27,1
node28,node46,2
node41,node12,2
node32,node17,2
node24,node50,2
node35,node31,1
node3,node34,1
node43,node45,1
node6,node2,1
node7,node6,1
node5,node2,2
node46,node23,2
node36,node41,2
node44,node19,2
node30,node49,1
node19,node32,1
node8,node20,1
node3,node24,2
node21,node27,2
node18,node47,2
node50,node6,1
node40,node47,2
node29,node23,2
node29,node17,2
node45,node12,1
node4,node25,1
node25,node6,1
node48,node37,1
node47,node46,1
node28,node40,2
node9,node45,1
node36,node27,1
node6,node5,1
node23,node12,2
node23,node42,2
node10,node11,1
node42,node47,2
node10,node36,1
node9,node12,1
node26,node42,2
node10,node25,1
node13,node7,2
node19,node15,1
node13,node41,1
node11,node41,1
node42,node29,2
node20,node24,1
node17,node20,1
node49,node31,1
node24,node7,1
node8,node49,1
node28,node17,2
node32,node44,1
node8,node22,2
node31,node9,2
node12,node39,1
node33,node18,1
node3,node23,2
node9,node24,1
node39,node25,2
node46,node47,1
node43,node26,2
node50,node25,2
node24,node18,1
node44,node8,2
node24,node9,2
node17,node4,2
node18,node21,1
node32,node42,2
node3,node38,2
node26,node49,2
node40,node26,2
node6,node2,2
node40,node5,2
node37,node36,1
node3,node41,1
node13,node2,2
node44,node36,1
node8,node20,2
node26,node36,1
node30,node16,2
node23,node29,1
node25,node50,1
node47,node34,1
node34,node1,2
node19,node44,2
node34,node40,2
node16,node31,1
node30,node48,1
node22,node35,2
node47,node20,2
